Node,Code,HasEye
t5y2h,Mieth_S56_280417,FALSE
t5y2h,Mieth_S39_260417,FALSE
t5y2h,Mieth_S83_040517,FALSE
t5y2h,Mieth_S75_030517,FALSE
t5y2h,Mieth_S42_260417,FALSE
t5y2h,Mieth_S106_100517,FALSE
t5y2h,Mieth_S99_090517,FALSE
t5y2h,Mieth_S63_020517,FALSE
t5y2h,Mieth_S25_210417,FALSE
t5y2h,Mieth_S87_080517,FALSE
t5y2h,Mieth_S123_120517,FALSE
t5y2h,Mieth_S113_110517,FALSE
t5y2h,Mieth_S16_200417,FALSE
t5y2h,Mieth_S3_180417,FALSE
t5y2h,Mieth_S49_270417,FALSE
t5y2h,Mieth_S80_040517,FALSE
t5y2h,Mieth_S95_090517,FALSE
t5y2h,Mieth_S117_110517,FALSE
t5y2h,Mieth_S26_210417,FALSE
t5y2h,Mieth_S76_030517,FALSE
t5y2h,Mieth_S96_090517,FALSE
t5y2h,Mieth_S53_270417,FALSE
t5y2h,Mieth_S72_030517,FALSE
t5y2h,Mieth_S79_040517,FALSE
t5y2h,Mieth_S118_110517,FALSE
t5y2h,Mieth_S103_100517,FALSE
t5y2h,Mieth_S64_020517,FALSE
t5y2h,Mieth_S88_080517,FALSE
t5y2h,Mieth_S7_180417,FALSE
t5y2h,Mieth_S50_270417,FALSE
t5y2h,Mieth_S60_280417,FALSE
t5y2h,Mieth_S2_180417,FALSE
t5y2h,Mieth_S12_190417,FALSE
t5y2h,Mieth_S20_200417,FALSE
t5y2h,Mieth_S47_260417,FALSE
t5y2h,Mieth_S81_040517,FALSE
t5y2h,Mieth_S107_100517,FALSE
t5y2h,Mieth_S93_080517,FALSE
t5y2h,Mieth_S101_090517,FALSE
t5y2h,Mieth_S37_250417,FALSE
t5y2h,Mieth_S34_240417,FALSE
2t9re,Hancock_Participant58_10052017,FALSE
2t9re,Hancock_Participant48_08052017,FALSE
2t9re,Hancock_Participant45_05052017,FALSE
2t9re,Hancock_Participant41_04052017,FALSE
2t9re,Hancock_Participant31_24042017,FALSE
